time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.010,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.020,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.030,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.040,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.050,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.060,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.070,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.080,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.090,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.100,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.110,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.120,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.130,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.140,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.150,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.160,1.986230,0.963427,6.713342,6.300000,-15.400000,-2.485000
0.170,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.180,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.190,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.200,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.210,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.220,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.230,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.240,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.250,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.260,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.270,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.280,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.290,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.300,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.310,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.320,-3.082583,-5.894716,1.597411,6.300000,-15.400000,-2.485000
0.330,-6.593670,-19.040761,-4.136798,6.300000,-15.400000,-2.485000
0.340,-6.593670,-19.040761,-4.136798,6.300000,-15.400000,-2.485000
0.350,-6.593670,-19.040761,-4.136798,6.300000,-15.400000,-2.485000
0.360,-6.593670,-19.040761,-4.136798,6.300000,-15.400000,-2.485000
0.370,-6.593670,-19.040761,-4.136798,6.300000,-15.400000,-2.485000
0.380,-6.593670,-19.040761,-4.136798,6.300000,-15.400000,-2.485000
0.390,-6.593670,-19.040761,-4.136798,6.300000,-15.400000,-2.485000
0.400,-6.593670,-19.040761,-4.136798,6.300000,-15.400000,-2.485000
0.410,-6.593670,-19.040761,-4.136798,-321.789992,176.259998,-241.745011
0.420,-6.593670,-19.040761,-4.136798,-321.789992,176.259998,-241.745011
0.430,-6.593670,-19.040761,-4.136798,-321.789992,176.259998,-241.745011
0.440,-6.593670,-19.040761,-4.136798,-321.789992,176.259998,-241.745011
0.450,-6.593670,-19.040761,-4.136798,-321.789992,176.259998,-241.745011
0.460,-6.593670,-19.040761,-4.136798,-321.789992,176.259998,-241.745011
0.470,-6.593670,-19.040761,-4.136798,-321.789992,176.259998,-241.745011
0.480,-6.593670,-19.040761,-4.136798,-321.789992,176.259998,-241.745011
0.490,-1.829201,-29.302853,-5.251614,-321.789992,176.259998,-241.745011
0.500,-1.829201,-29.302853,-5.251614,-321.789992,176.259998,-241.745011
0.510,-1.829201,-29.302853,-5.251614,-321.789992,176.259998,-241.745011
0.520,-1.829201,-29.302853,-5.251614,-321.789992,176.259998,-241.745011
0.530,-1.829201,-29.302853,-5.251614,-321.789992,176.259998,-241.745011
0.540,-1.829201,-29.302853,-5.251614,-321.789992,176.259998,-241.745011
0.550,-1.829201,-29.302853,-5.251614,-321.789992,176.259998,-241.745011
0.560,-1.829201,-29.302853,-5.251614,-321.789992,176.259998,-241.745011
0.570,-1.829201,-29.302853,-5.251614,-430.675010,253.435016,-339.780000
0.580,-1.829201,-29.302853,-5.251614,-430.675010,253.435016,-339.780000
0.590,-1.829201,-29.302853,-5.251614,-430.675010,253.435016,-339.780000
0.600,-1.829201,-29.302853,-5.251614,-430.675010,253.435016,-339.780000
0.610,-1.829201,-29.302853,-5.251614,-430.675010,253.435016,-339.780000
0.620,-1.829201,-29.302853,-5.251614,-430.675010,253.435016,-339.780000
0.630,-1.829201,-29.302853,-5.251614,-430.675010,253.435016,-339.780000
0.640,-1.829201,-29.302853,-5.251614,-430.675010,253.435016,-339.780000
0.650,-2.346342,-2.313931,12.125249,-430.675010,253.435016,-339.780000
0.660,-2.346342,-2.313931,12.125249,-430.675010,253.435016,-339.780000
0.670,-2.346342,-2.313931,12.125249,-430.675010,253.435016,-339.780000
0.680,-2.346342,-2.313931,12.125249,-430.675010,253.435016,-339.780000
0.690,-2.346342,-2.313931,12.125249,-430.675010,253.435016,-339.780000
0.700,-2.346342,-2.313931,12.125249,-430.675010,253.435016,-339.780000
0.710,-2.346342,-2.313931,12.125249,-430.675010,253.435016,-339.780000
0.720,-2.346342,-2.313931,12.125249,-430.675010,253.435016,-339.780000
0.730,-2.346342,-2.313931,12.125249,248.605007,276.044991,15.050001
0.740,-2.346342,-2.313931,12.125249,248.605007,276.044991,15.050001
0.750,-2.346342,-2.313931,12.125249,248.605007,276.044991,15.050001
0.760,-2.346342,-2.313931,12.125249,248.605007,276.044991,15.050001
0.770,-2.346342,-2.313931,12.125249,248.605007,276.044991,15.050001
0.780,-2.346342,-2.313931,12.125249,248.605007,276.044991,15.050001
0.790,-2.346342,-2.313931,12.125249,248.605007,276.044991,15.050001
0.800,-2.346342,-2.313931,12.125249,248.605007,276.044991,15.050001
0.810,-3.736890,-2.174840,-9.384461,248.605007,276.044991,15.050001
0.820,-3.736890,-2.174840,-9.384461,248.605007,276.044991,15.050001
0.830,-3.736890,-2.174840,-9.384461,248.605007,276.044991,15.050001
0.840,-3.736890,-2.174840,-9.384461,248.605007,276.044991,15.050001
0.850,-3.736890,-2.174840,-9.384461,248.605007,276.044991,15.050001
0.860,-3.736890,-2.174840,-9.384461,248.605007,276.044991,15.050001
0.870,-3.736890,-2.174840,-9.384461,248.605007,276.044991,15.050001
0.880,-3.736890,-2.174840,-9.384461,248.605007,276.044991,15.050001
0.890,-3.736890,-2.174840,-9.384461,283.010008,-222.704998,405.650016
0.900,-3.736890,-2.174840,-9.384461,283.010008,-222.704998,405.650016
0.910,-3.736890,-2.174840,-9.384461,283.010008,-222.704998,405.650016
0.920,-3.736890,-2.174840,-9.384461,283.010008,-222.704998,405.650016
0.930,-3.736890,-2.174840,-9.384461,283.010008,-222.704998,405.650016
0.940,-3.736890,-2.174840,-9.384461,283.010008,-222.704998,405.650016
0.950,-3.736890,-2.174840,-9.384461,283.010008,-222.704998,405.650016
0.960,-3.736890,-2.174840,-9.384461,283.010008,-222.704998,405.650016
0.970,6.727116,2.184703,0.667193,283.010008,-222.704998,405.650016
0.980,6.727116,2.184703,0.667193,283.010008,-222.704998,405.650016
0.990,6.727116,2.184703,0.667193,283.010008,-222.704998,405.650016
1.000,6.727116,2.184703,0.667193,283.010008,-222.704998,405.650016
1.010,6.727116,2.184703,0.667193,283.010008,-222.704998,405.650016
1.020,6.727116,2.184703,0.667193,283.010008,-222.704998,405.650016
1.030,6.727116,2.184703,0.667193,283.010008,-222.704998,405.650016
1.040,6.727116,2.184703,0.667193,283.010008,-222.704998,405.650016
1.050,6.727116,2.184703,0.667193,129.045004,-5.950000,60.025000
1.060,6.727116,2.184703,0.667193,129.045004,-5.950000,60.025000
1.070,6.727116,2.184703,0.667193,129.045004,-5.950000,60.025000
1.080,6.727116,2.184703,0.667193,129.045004,-5.950000,60.025000
1.090,6.727116,2.184703,0.667193,129.045004,-5.950000,60.025000
1.100,6.727116,2.184703,0.667193,129.045004,-5.950000,60.025000
1.110,6.727116,2.184703,0.667193,129.045004,-5.950000,60.025000
1.120,6.727116,2.184703,0.667193,129.045004,-5.950000,60.025000
1.130,9.909608,2.885487,9.794527,129.045004,-5.950000,60.025000
1.140,9.909608,2.885487,9.794527,129.045004,-5.950000,60.025000
1.150,9.909608,2.885487,9.794527,129.045004,-5.950000,60.025000
1.160,9.909608,2.885487,9.794527,129.045004,-5.950000,60.025000
1.170,9.909608,2.885487,9.794527,129.045004,-5.950000,60.025000
1.180,9.909608,2.885487,9.794527,129.045004,-5.950000,60.025000
1.190,9.909608,2.885487,9.794527,129.045004,-5.950000,60.025000
1.200,9.909608,2.885487,9.794527,129.045004,-5.950000,60.025000
1.210,9.909608,2.885487,9.794527,52.255001,32.969999,-145.039996
1.220,9.909608,2.885487,9.794527,52.255001,32.969999,-145.039996
1.230,9.909608,2.885487,9.794527,52.255001,32.969999,-145.039996
1.240,9.909608,2.885487,9.794527,52.255001,32.969999,-145.039996
1.250,9.909608,2.885487,9.794527,52.255001,32.969999,-145.039996
1.260,9.909608,2.885487,9.794527,52.255001,32.969999,-145.039996
1.270,9.909608,2.885487,9.794527,52.255001,32.969999,-145.039996
1.280,9.909608,2.885487,9.794527,52.255001,32.969999,-145.039996
1.290,-2.961143,5.780939,-4.595074,52.255001,32.969999,-145.039996
1.300,-2.961143,5.780939,-4.595074,52.255001,32.969999,-145.039996
1.310,-2.961143,5.780939,-4.595074,52.255001,32.969999,-145.039996
1.320,-2.961143,5.780939,-4.595074,52.255001,32.969999,-145.039996
1.330,-2.961143,5.780939,-4.595074,52.255001,32.969999,-145.039996
1.340,-2.961143,5.780939,-4.595074,52.255001,32.969999,-145.039996
1.350,-2.961143,5.780939,-4.595074,52.255001,32.969999,-145.039996
1.360,-2.961143,5.780939,-4.595074,52.255001,32.969999,-145.039996
1.370,-2.961143,5.780939,-4.595074,-62.475003,86.240004,11.795000
1.380,-2.961143,5.780939,-4.595074,-62.475003,86.240004,11.795000
1.390,-2.961143,5.780939,-4.595074,-62.475003,86.240004,11.795000
1.400,-2.961143,5.780939,-4.595074,-62.475003,86.240004,11.795000
1.410,-2.961143,5.780939,-4.595074,-62.475003,86.240004,11.795000
1.420,-2.961143,5.780939,-4.595074,-62.475003,86.240004,11.795000
1.430,-2.961143,5.780939,-4.595074,-62.475003,86.240004,11.795000
1.440,-2.961143,5.780939,-4.595074,-62.475003,86.240004,11.795000
1.450,1.417755,4.203372,-0.747472,-62.475003,86.240004,11.795000
1.460,1.417755,4.203372,-0.747472,-62.475003,86.240004,11.795000
1.470,1.417755,4.203372,-0.747472,-62.475003,86.240004,11.795000
1.480,1.417755,4.203372,-0.747472,-62.475003,86.240004,11.795000
1.490,1.417755,4.203372,-0.747472,-62.475003,86.240004,11.795000
1.500,1.417755,4.203372,-0.747472,-62.475003,86.240004,11.795000
1.510,1.417755,4.203372,-0.747472,-62.475003,86.240004,11.795000
1.520,1.417755,4.203372,-0.747472,-62.475003,86.240004,11.795000
1.530,1.417755,4.203372,-0.747472,-147.140006,43.645001,29.225000
1.540,1.417755,4.203372,-0.747472,-147.140006,43.645001,29.225000
1.550,1.417755,4.203372,-0.747472,-147.140006,43.645001,29.225000
1.560,1.417755,4.203372,-0.747472,-147.140006,43.645001,29.225000
1.570,1.417755,4.203372,-0.747472,-147.140006,43.645001,29.225000
1.580,1.417755,4.203372,-0.747472,-147.140006,43.645001,29.225000
1.590,1.417755,4.203372,-0.747472,-147.140006,43.645001,29.225000
1.600,1.417755,4.203372,-0.747472,-147.140006,43.645001,29.225000
1.610,-3.387964,-5.333043,-1.745279,-147.140006,43.645001,29.225000
1.620,-3.387964,-5.333043,-1.745279,-147.140006,43.645001,29.225000
1.630,-3.387964,-5.333043,-1.745279,-147.140006,43.645001,29.225000
1.640,-3.387964,-5.333043,-1.745279,-147.140006,43.645001,29.225000
1.650,-3.387964,-5.333043,-1.745279,-147.140006,43.645001,29.225000
1.660,-3.387964,-5.333043,-1.745279,-147.140006,43.645001,29.225000
1.670,-3.387964,-5.333043,-1.745279,-147.140006,43.645001,29.225000
1.680,-3.387964,-5.333043,-1.745279,-147.140006,43.645001,29.225000
1.690,-3.387964,-5.333043,-1.745279,-235.830012,46.164999,-0.175000
1.700,-3.387964,-5.333043,-1.745279,-235.830012,46.164999,-0.175000
1.710,-3.387964,-5.333043,-1.745279,-235.830012,46.164999,-0.175000
1.720,-3.387964,-5.333043,-1.745279,-235.830012,46.164999,-0.175000
1.730,-3.387964,-5.333043,-1.745279,-235.830012,46.164999,-0.175000
1.740,-3.387964,-5.333043,-1.745279,-235.830012,46.164999,-0.175000
1.750,-3.387964,-5.333043,-1.745279,-235.830012,46.164999,-0.175000
1.760,-3.387964,-5.333043,-1.745279,-235.830012,46.164999,-0.175000
1.770,-1.894428,-8.903524,1.407866,-235.830012,46.164999,-0.175000
1.780,-1.894428,-8.903524,1.407866,-235.830012,46.164999,-0.175000
1.790,-1.894428,-8.903524,1.407866,-235.830012,46.164999,-0.175000
1.800,-1.894428,-8.903524,1.407866,-235.830012,46.164999,-0.175000
1.810,-1.894428,-8.903524,1.407866,-235.830012,46.164999,-0.175000
1.820,-1.894428,-8.903524,1.407866,-235.830012,46.164999,-0.175000
1.830,-1.894428,-8.903524,1.407866,-235.830012,46.164999,-0.175000
1.840,-1.894428,-8.903524,1.407866,-235.830012,46.164999,-0.175000
1.850,-1.894428,-8.903524,1.407866,-217.524996,143.884997,-76.440001
1.860,-1.894428,-8.903524,1.407866,-217.524996,143.884997,-76.440001
1.870,-1.894428,-8.903524,1.407866,-217.524996,143.884997,-76.440001
1.880,-1.894428,-8.903524,1.407866,-217.524996,143.884997,-76.440001
1.890,-1.894428,-8.903524,1.407866,-217.524996,143.884997,-76.440001
1.900,-1.894428,-8.903524,1.407866,-217.524996,143.884997,-76.440001
1.910,-1.894428,-8.903524,1.407866,-217.524996,143.884997,-76.440001
1.920,-1.894428,-8.903524,1.407866,-217.524996,143.884997,-76.440001
1.930,-2.676251,-3.724968,-1.524567,-217.524996,143.884997,-76.440001
1.940,-2.676251,-3.724968,-1.524567,-217.524996,143.884997,-76.440001
1.950,-2.676251,-3.724968,-1.524567,-217.524996,143.884997,-76.440001
1.960,-2.676251,-3.724968,-1.524567,-217.524996,143.884997,-76.440001
1.970,-2.676251,-3.724968,-1.524567,-217.524996,143.884997,-76.440001
1.980,-2.676251,-3.724968,-1.524567,-217.524996,143.884997,-76.440001
1.990,-2.676251,-3.724968,-1.524567,-217.524996,143.884997,-76.440001
2.000,-2.676251,-3.724968,-1.524567,-217.524996,143.884997,-76.440001
2.010,-2.676251,-3.724968,-1.524567,-158.164997,101.780002,-68.950002
2.020,-2.676251,-3.724968,-1.524567,-158.164997,101.780002,-68.950002
2.030,-2.676251,-3.724968,-1.524567,-158.164997,101.780002,-68.950002
2.040,-2.676251,-3.724968,-1.524567,-158.164997,101.780002,-68.950002
2.050,-2.676251,-3.724968,-1.524567,-158.164997,101.780002,-68.950002
2.060,-2.676251,-3.724968,-1.524567,-158.164997,101.780002,-68.950002
2.070,-2.676251,-3.724968,-1.524567,-158.164997,101.780002,-68.950002
2.080,-2.676251,-3.724968,-1.524567,-158.164997,101.780002,-68.950002
2.090,5.392115,0.799034,1.814278,-158.164997,101.780002,-68.950002
2.100,5.392115,0.799034,1.814278,-158.164997,101.780002,-68.950002
2.110,5.392115,0.799034,1.814278,-158.164997,101.780002,-68.950002
2.120,5.392115,0.799034,1.814278,-158.164997,101.780002,-68.950002
2.130,5.392115,0.799034,1.814278,-158.164997,101.780002,-68.950002
2.140,5.392115,0.799034,1.814278,-158.164997,101.780002,-68.950002
2.150,5.392115,0.799034,1.814278,-158.164997,101.780002,-68.950002
2.160,5.392115,0.799034,1.814278,-158.164997,101.780002,-68.950002
2.170,5.392115,0.799034,1.814278,68.984999,219.415005,-42.350001
2.180,5.392115,0.799034,1.814278,68.984999,219.415005,-42.350001
2.190,5.392115,0.799034,1.814278,68.984999,219.415005,-42.350001
2.200,5.392115,0.799034,1.814278,68.984999,219.415005,-42.350001
2.210,5.392115,0.799034,1.814278,68.984999,219.415005,-42.350001
2.220,5.392115,0.799034,1.814278,68.984999,219.415005,-42.350001
2.230,5.392115,0.799034,1.814278,68.984999,219.415005,-42.350001
2.240,5.392115,0.799034,1.814278,68.984999,219.415005,-42.350001
2.250,-4.966233,-0.146071,3.437652,68.984999,219.415005,-42.350001
2.260,-4.966233,-0.146071,3.437652,68.984999,219.415005,-42.350001
2.270,-4.966233,-0.146071,3.437652,68.984999,219.415005,-42.350001
2.280,-4.966233,-0.146071,3.437652,68.984999,219.415005,-42.350001
2.290,-4.966233,-0.146071,3.437652,68.984999,219.415005,-42.350001
2.300,-4.966233,-0.146071,3.437652,68.984999,219.415005,-42.350001
2.310,-4.966233,-0.146071,3.437652,68.984999,219.415005,-42.350001
2.320,-4.966233,-0.146071,3.437652,68.984999,219.415005,-42.350001
2.330,-4.966233,-0.146071,3.437652,293.124999,83.475000,167.510007
2.340,-4.966233,-0.146071,3.437652,293.124999,83.475000,167.510007
2.350,-4.966233,-0.146071,3.437652,293.124999,83.475000,167.510007
2.360,-4.966233,-0.146071,3.437652,293.124999,83.475000,167.510007
2.370,-4.966233,-0.146071,3.437652,293.124999,83.475000,167.510007
2.380,-4.966233,-0.146071,3.437652,293.124999,83.475000,167.510007
