time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.010,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.020,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.030,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.040,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.050,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.060,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.070,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.080,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.090,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.100,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.110,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.120,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.130,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.140,4.736689,-0.061292,5.146576,14.805000,-14.280000,-11.690000
0.150,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.160,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.170,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.180,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.190,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.200,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.210,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.220,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.230,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.240,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.250,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.260,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.270,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.280,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.290,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.300,-3.253433,-7.122463,1.460655,14.805000,-14.280000,-11.690000
0.310,-4.728797,-14.659946,-4.301748,14.805000,-14.280000,-11.690000
0.320,-4.728797,-14.659946,-4.301748,14.805000,-14.280000,-11.690000
0.330,-4.728797,-14.659946,-4.301748,14.805000,-14.280000,-11.690000
0.340,-4.728797,-14.659946,-4.301748,14.805000,-14.280000,-11.690000
0.350,-4.728797,-14.659946,-4.301748,14.805000,-14.280000,-11.690000
0.360,-4.728797,-14.659946,-4.301748,14.805000,-14.280000,-11.690000
0.370,-4.728797,-14.659946,-4.301748,14.805000,-14.280000,-11.690000
0.380,-4.728797,-14.659946,-4.301748,14.805000,-14.280000,-11.690000
0.390,-4.728797,-14.659946,-4.301748,14.805000,-14.280000,-11.690000
0.400,-4.728797,-14.659946,-4.301748,14.805000,-14.280000,-11.690000
0.410,-4.728797,-14.659946,-4.301748,-350.769993,129.290003,-251.790006
0.420,-4.728797,-14.659946,-4.301748,-350.769993,129.290003,-251.790006
0.430,-4.728797,-14.659946,-4.301748,-350.769993,129.290003,-251.790006
0.440,-4.728797,-14.659946,-4.301748,-350.769993,129.290003,-251.790006
0.450,-4.728797,-14.659946,-4.301748,-350.769993,129.290003,-251.790006
0.460,-4.728797,-14.659946,-4.301748,-350.769993,129.290003,-251.790006
0.470,-8.508234,-21.864048,-4.295650,-350.769993,129.290003,-251.790006
0.480,-8.508234,-21.864048,-4.295650,-350.769993,129.290003,-251.790006
0.490,-8.508234,-21.864048,-4.295650,-350.769993,129.290003,-251.790006
0.500,-8.508234,-21.864048,-4.295650,-350.769993,129.290003,-251.790006
0.510,-8.508234,-21.864048,-4.295650,-350.769993,129.290003,-251.790006
0.520,-8.508234,-21.864048,-4.295650,-350.769993,129.290003,-251.790006
0.530,-8.508234,-21.864048,-4.295650,-350.769993,129.290003,-251.790006
0.540,-8.508234,-21.864048,-4.295650,-350.769993,129.290003,-251.790006
0.550,-8.508234,-21.864048,-4.295650,-350.769993,129.290003,-251.790006
0.560,-8.508234,-21.864048,-4.295650,-350.769993,129.290003,-251.790006
0.570,-8.508234,-21.864048,-4.295650,-321.754994,141.715005,-112.245000
0.580,-8.508234,-21.864048,-4.295650,-321.754994,141.715005,-112.245000
0.590,-8.508234,-21.864048,-4.295650,-321.754994,141.715005,-112.245000
0.600,-8.508234,-21.864048,-4.295650,-321.754994,141.715005,-112.245000
0.610,-8.508234,-21.864048,-4.295650,-321.754994,141.715005,-112.245000
0.620,-8.508234,-21.864048,-4.295650,-321.754994,141.715005,-112.245000
0.630,8.527796,-5.169720,13.462714,-321.754994,141.715005,-112.245000
0.640,8.527796,-5.169720,13.462714,-321.754994,141.715005,-112.245000
0.650,8.527796,-5.169720,13.462714,-321.754994,141.715005,-112.245000
0.660,8.527796,-5.169720,13.462714,-321.754994,141.715005,-112.245000
0.670,8.527796,-5.169720,13.462714,-321.754994,141.715005,-112.245000
0.680,8.527796,-5.169720,13.462714,-321.754994,141.715005,-112.245000
0.690,8.527796,-5.169720,13.462714,-321.754994,141.715005,-112.245000
0.700,8.527796,-5.169720,13.462714,-321.754994,141.715005,-112.245000
0.710,8.527796,-5.169720,13.462714,-321.754994,141.715005,-112.245000
0.720,8.527796,-5.169720,13.462714,-321.754994,141.715005,-112.245000
0.730,8.527796,-5.169720,13.462714,314.195013,416.220007,-55.475001
0.740,8.527796,-5.169720,13.462714,314.195013,416.220007,-55.475001
0.750,8.527796,-5.169720,13.462714,314.195013,416.220007,-55.475001
0.760,8.527796,-5.169720,13.462714,314.195013,416.220007,-55.475001
0.770,8.527796,-5.169720,13.462714,314.195013,416.220007,-55.475001
0.780,8.527796,-5.169720,13.462714,314.195013,416.220007,-55.475001
0.790,-7.320792,2.024027,-4.562297,314.195013,416.220007,-55.475001
0.800,-7.320792,2.024027,-4.562297,314.195013,416.220007,-55.475001
0.810,-7.320792,2.024027,-4.562297,314.195013,416.220007,-55.475001
0.820,-7.320792,2.024027,-4.562297,314.195013,416.220007,-55.475001
0.830,-7.320792,2.024027,-4.562297,314.195013,416.220007,-55.475001
0.840,-7.320792,2.024027,-4.562297,314.195013,416.220007,-55.475001
0.850,-7.320792,2.024027,-4.562297,314.195013,416.220007,-55.475001
0.860,-7.320792,2.024027,-4.562297,314.195013,416.220007,-55.475001
0.870,-7.320792,2.024027,-4.562297,314.195013,416.220007,-55.475001
0.880,-7.320792,2.024027,-4.562297,314.195013,416.220007,-55.475001
0.890,-7.320792,2.024027,-4.562297,314.195013,416.220007,-55.475001
0.900,-7.320792,2.024027,-4.562297,262.115012,-74.130003,370.860011
0.910,-7.320792,2.024027,-4.562297,262.115012,-74.130003,370.860011
0.920,-7.320792,2.024027,-4.562297,262.115012,-74.130003,370.860011
0.930,-7.320792,2.024027,-4.562297,262.115012,-74.130003,370.860011
0.940,-7.320792,2.024027,-4.562297,262.115012,-74.130003,370.860011
0.950,5.572328,-0.183134,-5.413885,262.115012,-74.130003,370.860011
0.960,5.572328,-0.183134,-5.413885,262.115012,-74.130003,370.860011
0.970,5.572328,-0.183134,-5.413885,262.115012,-74.130003,370.860011
0.980,5.572328,-0.183134,-5.413885,262.115012,-74.130003,370.860011
0.990,5.572328,-0.183134,-5.413885,262.115012,-74.130003,370.860011
1.000,5.572328,-0.183134,-5.413885,262.115012,-74.130003,370.860011
1.010,5.572328,-0.183134,-5.413885,262.115012,-74.130003,370.860011
1.020,5.572328,-0.183134,-5.413885,262.115012,-74.130003,370.860011
1.030,5.572328,-0.183134,-5.413885,262.115012,-74.130003,370.860011
1.040,5.572328,-0.183134,-5.413885,262.115012,-74.130003,370.860011
1.050,5.572328,-0.183134,-5.413885,149.099997,-46.130001,266.524992
1.060,5.572328,-0.183134,-5.413885,149.099997,-46.130001,266.524992
1.070,5.572328,-0.183134,-5.413885,149.099997,-46.130001,266.524992
1.080,5.572328,-0.183134,-5.413885,149.099997,-46.130001,266.524992
1.090,5.572328,-0.183134,-5.413885,149.099997,-46.130001,266.524992
1.100,5.572328,-0.183134,-5.413885,149.099997,-46.130001,266.524992
1.110,4.798797,-2.473672,6.969524,149.099997,-46.130001,266.524992
1.120,4.798797,-2.473672,6.969524,149.099997,-46.130001,266.524992
1.130,4.798797,-2.473672,6.969524,149.099997,-46.130001,266.524992
1.140,4.798797,-2.473672,6.969524,149.099997,-46.130001,266.524992
1.150,4.798797,-2.473672,6.969524,149.099997,-46.130001,266.524992
