time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.000,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.010,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.020,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.030,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.040,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.050,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.060,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.070,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.080,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.090,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.100,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.110,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.120,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.130,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.140,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.150,-0.381157,-5.594770,2.514869,2.030000,0.980000,-1.155000
0.160,-8.337951,-19.528641,-11.941512,2.030000,0.980000,-1.155000
0.170,-8.337951,-19.528641,-11.941512,2.030000,0.980000,-1.155000
0.180,-8.337951,-19.528641,-11.941512,2.030000,0.980000,-1.155000
0.190,-8.337951,-19.528641,-11.941512,2.030000,0.980000,-1.155000
0.200,-8.337951,-19.528641,-11.941512,2.030000,0.980000,-1.155000
0.210,-8.337951,-19.528641,-11.941512,2.030000,0.980000,-1.155000
0.220,-8.337951,-19.528641,-11.941512,2.030000,0.980000,-1.155000
0.230,-8.337951,-19.528641,-11.941512,2.030000,0.980000,-1.155000
0.240,-8.337951,-19.528641,-11.941512,-504.280024,232.855000,-335.789995
0.250,-8.337951,-19.528641,-11.941512,-504.280024,232.855000,-335.789995
0.260,-8.337951,-19.528641,-11.941512,-504.280024,232.855000,-335.789995
0.270,-8.337951,-19.528641,-11.941512,-504.280024,232.855000,-335.789995
0.280,-8.337951,-19.528641,-11.941512,-504.280024,232.855000,-335.789995
0.290,-8.337951,-19.528641,-11.941512,-504.280024,232.855000,-335.789995
0.300,-8.337951,-19.528641,-11.941512,-504.280024,232.855000,-335.789995
0.310,-8.337951,-19.528641,-11.941512,-504.280024,232.855000,-335.789995
