time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.01,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.02,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.03,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.04,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.05,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.06,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.07,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.08,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.09,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.1,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.11,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.12,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.13,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.14,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.15,-6.500736,-7.864474,2.727475,18.655,-22.365,0.56
0.16,-6.2838692499999995,-8.231936125,2.6475565000000003,18.655,-22.365,0.56
0.17,-6.094110843749999,-8.553465484375,2.5776278125000003,18.655,-22.365,0.56
0.18,-5.928072238281249,-8.834803673828125,2.5164402109375,18.655,-22.365,0.56
0.19,-5.782788458496094,-9.08097458959961,2.4629010595703127,18.655,-22.365,0.56
0.2,-5.655665151184082,-9.296374140899658,2.4160543021240235,18.655,-22.365,0.56
0.21,-5.544432257286072,-9.4848487482872,2.3750633893585205,18.655,-22.365,0.56
0.22,-5.447103475125313,-9.6497640297513,2.3391963406887055,18.655,-22.365,0.56
0.23,-5.361940790734649,-9.794064901032387,2.3078126731026174,18.655,-22.365,0.56
0.24,-5.287423441892818,-9.920328163403338,2.2803519639647902,6.2212496250000004,12.180001250000004,-37.498125625
